X1,X2,X3,X4,X5,X6,X7,X8
2.040650693,12.92215986,0,0.008341709,2.270565511,14.37806608,0,0.010954774
1.2752257,7.870730634,0,0.001708543,1.607457349,9.921274172,0,0.004321608
1.988438019,12.15653497,0,0.007939698,1.278923884,7.818842114,0,0.001708543
1.216566864,7.647137106,0,0.001306533,1.400024954,8.800324164,0,0.002613065
1.311612912,8.028700822,0,0.001909548,1.871414838,11.45538422,0,0.006633166
1.865026909,11.76671399,0,0.006733668,1.439690243,9.083205845,0,0.002914573
1.979398422,12.15301334,0.02,0.008241206,1.834157985,11.26127323,0,0.006633166
1.777565711,11.30186199,0,0.005728643,1.395440548,8.872288877,0,0.002512563
1.938851723,11.99648023,0,0.007437186,1.830028054,11.32314303,0,0.006331658
2.023771832,12.64588611,0,0.008643216,1.67325967,10.45565063,0,0.005025126
1.32000878,8.030330314,0,0.00201005,1.954791059,11.89205567,0,0.007638191
1.251485164,7.883519081,0,0.001507538,1.67686862,10.5631502,0,0.004824121
1.9533065,12.20779951,0,0.007638191,1.633100389,10.20657133,0,0.004522613
1.976246095,12.50740736,0,0.008040201,1.634224728,10.34279812,0,0.004623116
1.801250014,11.14407804,0,0.006130653,1.424872989,8.815486836,0,0.00281407
1.368538738,8.429527379,0,0.00241206,1.930752991,11.89249142,0,0.007537688
1.948077665,11.51452356,0,0.007638191,1.450273103,8.572144793,0,0.003015075
1.333959631,8.428859629,0,0.002110553,1.877212779,11.86150064,0,0.006834171
1.33432856,8.103916368,0,0.002110553,1.878061614,11.40622686,0,0.006834171
2.018425029,12.79267996,0,0.008341709,1.621607645,10.27767062,0,0.004422111
1.292703517,7.977653187,0,0.001909548,1.89165778,11.67397591,0,0.007336683
1.388531495,8.65167142,0,0.00241206,2.116618511,13.18824092,0,0.009045226
2.109989222,13.0743658,0,0.009145729,1.891971781,11.72343958,0,0.006834171
2.012324779,12.45431153,0.02,0.008241206,1.567243257,9.699694593,0,0.003919598
1.990535598,12.37258511,0,0.007839196,1.550858252,9.639679757,0,0.003718593
1.977136691,12.18037228,0,0.007939698,1.512887391,9.320312414,0,0.003517588
1.96555114,12.34767558,0,0.007638191,1.379937979,8.668828879,0,0.00241206
2.024745987,12.59874095,0,0.008442211,1.596808741,9.935952362,0,0.004221106
1.894427015,11.65026336,0,0.006934673,1.351085348,8.308844845,0,0.002211055
1.317984556,8.253349993,0,0.00201005,1.882269201,11.78695641,0,0.006934673
2.043227673,13.05774577,0,0.008743719,1.579924166,10.09689149,0,0.004120603
1.970199257,12.30517106,0,0.007939698,1.579733552,9.866459709,0,0.004120603
1.349087551,8.542583281,0,0.002211055,2.139706577,13.54887725,0,0.009648241
1.851950148,11.12142692,0,0.006432161,1.500941052,9.01352892,0,0.003316583
1.915964957,11.99713809,0,0.007437186,1.597504954,10.00304701,0,0.004321608
2.100563736,12.96479334,0,0.009145729,1.903916613,11.75107663,0,0.007035176
1.308689258,8.048702016,0,0.001909548,1.981334887,12.18560785,0,0.007839196
2.067154212,13.272349,0,0.008944724,1.77004202,11.36471353,0,0.005829146
2.016546469,12.49544169,0,0.008442211,1.434802667,8.89069175,0,0.002914573
2.05082383,12.86798942,0,0.008844221,1.884179007,11.82236874,0,0.007035176
1.370753019,8.263001886,0,0.00241206,2.081522973,12.54757642,0,0.009145729
1.216279475,7.747741769,0,0.001306533,1.686297447,10.74177229,0,0.005025126
1.885631569,11.70818087,0,0.006934673,1.774314205,11.01699398,0,0.005829146
1.42708078,8.726950076,0,0.00281407,2.151269029,13.15553939,0,0.009849246
2.139951171,13.02117757,0,0.009849246,1.614643464,9.824784579,0,0.004422111
2.02069266,12.34078152,0,0.007939698,1.550806885,9.471093424,0,0.00361809
2.022210247,12.42113579,0,0.008442211,1.900321821,11.67245365,0,0.007135678
2.109099906,13.15143797,0,0.009246231,1.883811366,11.74663573,0,0.006834171
1.893999225,11.90894589,0,0.007035176,1.574299493,9.898761961,0,0.004020101
2.059018064,13.04225031,0,0.008341709,1.751751054,11.09595691,0,0.005326633
1.960010608,11.62711572,0,0.007437186,1.628258015,9.659103008,0,0.004321608
1.918951633,11.95024345,0,0.007537688,1.783722316,11.10810484,0,0.006130653
1.992933127,11.84754355,0,0.007939698,1.6637375,9.890548867,0,0.004723618
1.861239277,11.77839024,0,0.006934673,1.636618763,10.35693514,0,0.004723618
1.421031576,8.24768301,0,0.002713568,2.469140277,14.33091752,0,0.013567839
1.994745824,12.22787685,0,0.008040201,1.601243493,9.8156908,0,0.004221106
1.393152858,8.915669979,0,0.002613065,1.718756749,10.99941608,0,0.005427136
1.327460336,7.95280939,0,0.002110553,1.812857642,10.86082265,0,0.006331658
2.209449143,13.769482,0,0.010351759,2.095649438,13.06027219,0,0.009045226
2.049900323,12.41422815,0,0.008743719,1.791183646,10.84743594,0,0.006030151
1.303514991,8.422479881,0,0.001909548,1.841693107,11.89984254,0,0.006532663
1.958849831,12.07658669,0,0.007537688,1.251965867,7.718546915,0,0.001507538
1.952364851,12.05249713,0,0.007939698,1.760652864,10.86900513,0,0.005929648
1.771664054,11.18343049,0.02,0.005929648,1.711479069,10.80351953,0,0.005326633
2.039324269,12.84761774,0,0.008442211,1.674829369,10.55132224,0,0.004824121
2.004317523,12.18818142,0,0.008241206,1.58387006,9.631455799,0,0.004120603
