S,zero_prop,r_complete,r_impute,
0.1,0,0.755754415,0.755754415,
0.05,0.02,0.737260633,0.719920805,
0.02,0.165,0.644303991,0.575847167,
0.01,0.37,0.6845214,0.500183026,
0.005,0.675,0.662367798,0.568962291,
0.1,0.005,0.737310975,0.748004332,
0.05,0.02,0.715320954,0.712190733,
0.02,0.15,0.548380584,0.527275936,
0.01,0.345,0.344628237,0.418486694,
0.005,0.62,-0.173305852,-0.265613487,
0.1,0.02,0.759572045,0.755238908,
0.05,0.055,0.716293737,0.732366389,
0.02,0.24,0.639668573,0.60783701,
0.01,0.485,0.605423788,0.593884676,
0.005,0.765,0.502055472,-0.015062904,
0.1,0,0.777329899,0.777329899,
0.05,0.035,0.750711018,0.735216914,
0.02,0.21,0.700860774,0.713145531,
0.01,0.455,0.518685027,0.379845189,
0.005,0.76,0.364852998,0.205788198,
0.1,0.005,0.822099862,0.823411221,
0.05,0.05,0.758126033,0.752662615,
0.02,0.245,0.650877343,0.627172991,
0.01,0.475,0.549256966,0.618119835,
0.005,0.705,0.397845998,0.146692596,
0.1,0.035,0.80025342,0.806884842,
0.05,0.07,0.770886744,0.790658349,
0.02,0.25,0.663033968,0.718318693,
0.01,0.485,0.696682605,0.494293623,
0.005,0.8,0.905157079,0.919523788,
0.1,0.025,0.786983263,0.799097598,
0.05,0.07,0.747441053,0.75084135,
0.02,0.275,0.695880598,0.706653068,
0.01,0.515,0.690257912,0.70571665,
0.005,0.715,0.68558426,0.731467758,
0.1,0.01,0.791075414,0.797711981,
0.05,0.055,0.73013162,0.718824892,
0.02,0.22,0.684806791,0.733865989,
0.01,0.445,0.461178423,0.307229334,
0.005,0.7,0.586382883,0.257654566,
0.1,0.005,0.816128656,0.819966319,
0.05,0.05,0.761834509,0.766894098,
0.02,0.185,0.749113548,0.776243802,
0.01,0.425,0.506941637,0.266162527,
0.005,0.625,0.450856428,0.607616201,
0.1,0.025,0.847578486,0.841958821,
0.05,0.07,0.822842065,0.833267376,
0.02,0.265,0.781949202,0.825586225,
0.01,0.545,0.650331177,0.77259843,
0.005,0.735,0.79742376,0.732395875,
0.1,0.01,0.739424464,0.740192852,
0.05,0.04,0.711921347,0.737096748,
0.02,0.185,0.501536535,0.467133658,
0.01,0.395,0.563967388,0.485620614,
0.005,0.705,0.477365021,0.45063879,
0.1,0.02,0.767164824,0.766839985,
0.05,0.055,0.71346193,0.692226413,
0.02,0.295,0.631771679,0.684503131,
0.01,0.545,0.609335985,0.383285129,
0.005,0.78,0.784252928,0.63277339,
0.1,0,0.797529517,0.797529517,
0.05,0.035,0.776564436,0.793240479,
0.02,0.19,0.72945467,0.757722288,
0.01,0.48,0.48245966,0.406457963,
0.005,0.715,0.334011145,0.425047152,
0.1,0.015,0.759483799,0.760675824,
0.05,0.055,0.708566076,0.709472952,
0.02,0.26,0.550910464,0.677793774,
0.01,0.46,0.487288923,0.237166904,
0.005,0.72,0.633760218,0.702246837,
0.1,0.03,0.793606661,0.789049771,
0.05,0.07,0.740494833,0.78107269,
0.02,0.225,0.620918331,0.65519759,
0.01,0.4,0.672727995,0.529178002,
0.005,0.67,0.589805509,0.485502871,
0.1,0.015,0.802081587,0.805379028,
0.05,0.065,0.769601458,0.788567619,
0.02,0.25,0.629536393,0.651105268,
0.01,0.495,0.4921458,0.332186416,
0.005,0.71,0.578551679,0.499548109,
0.1,0.015,0.827217752,0.835340542,
0.05,0.04,0.818485331,0.827374103,
0.02,0.185,0.738355487,0.703704955,
0.01,0.415,0.622489457,0.559235115,
0.005,0.715,0.554004094,0.270069266,
0.1,0.02,0.788280113,0.778193375,
0.05,0.085,0.736941917,0.63308094,
0.02,0.25,0.74306326,0.730451822,
0.01,0.47,0.635467178,0.513428001,
0.005,0.7,0.825759919,0.845215265,
0.1,0.01,0.807979955,0.813920596,
0.05,0.025,0.791453872,0.787784404,
0.02,0.18,0.734818627,0.737027316,
0.01,0.43,0.682042599,0.70085976,
0.005,0.695,0.333492293,0.359349068,
0.1,0.01,0.756455657,0.773087392,
0.05,0.04,0.716281996,0.727397193,
0.02,0.185,0.696723022,0.746184079,
0.01,0.43,0.790015378,0.852936428,
0.005,0.7,0.642590431,0.484179326,
